Run by AMM on 25 Nov 2016 18:22:40
Recall order is  Mykrobe Mykrobe Genefinder
disagreements: sites

          site |      Freq.     Percent        Cum.
APP

    Variable |        Obs        Mean    Std. Dev.       Min        Max
-------------+---------------------------------------------------------
      bcount |        169    .1420118    .3500996          0          1
24 out of 169 sites are borderline +/- 5 from threshold
14.201183 percent

    Variable |        Obs        Mean    Std. Dev.       Min        Max
-------------+---------------------------------------------------------
      ycount |        169    .5147929    .5012664          0          1
87 out of 169 sites are 5 or more above threshold
51.47929 percent

    Variable |        Obs        Mean    Std. Dev.       Min        Max
-------------+---------------------------------------------------------
      ncount |        169    .3431953     .476187          0          1
58 out of 169 sites are 5 or more below threshold
34.319527 percent

               |            borderline
          site | borderl..         no        yes |     Total
---------------+---------------------------------+----------
      aac6aph2 |         0          1          0 |         1 
    aadeant6ia |         0          2          0 |         2 
        ant9ia |         0          3          0 |         3 
  apha3aph3iii |         0          1          0 |         1 
          blaz |         1          3          3 |         7 
         ccrca |         0          1          0 |         1 
         ccrcc |         0          0          1 |         1 
           cfr |         0          1          0 |         1 
           chp |         6          9         31 |        46 
          dfrc |         2          0          1 |         3 
          ermc |         0          2          0 |         2 
           etb |         0          0          1 |         1 
           etd |         0          0          1 |         1 
          fusc |         1          1          0 |         2 
        lukpvs |         0          0          1 |         1 
          meca |         0          2          0 |         2 
          qaca |         0          0          1 |         1 
       qaccsmr |         0          1          1 |         2 
           sak |         1          1          3 |         5 
          sat4 |         0          1          0 |         1 
           scn |         2          3         10 |        15 
           seb |         0          1          1 |         2 
           sec |         0          2          2 |         4 
           seg |         1         12          7 |        20 
           sei |         9          6         18 |        33 
           sep |         0          1          1 |         2 
          tetk |         0          2          2 |         4 
          tetm |         1          0          0 |         1 
         tsst1 |         0          2          2 |         4 
---------------+---------------------------------+----------
         Total |        24         58         87 |       169 


           |            borderline
       set | borderl..         no        yes |     Total
-----------+---------------------------------+----------
Collindale |         6         17         19 |        42 
 Oxford491 |         1          4          7 |        12 
 Oxford501 |        17         37         61 |       115 
-----------+---------------------------------+----------
     Total |        24         58         87 |       169 

PPA

    Variable |        Obs        Mean    Std. Dev.       Min        Max
-------------+---------------------------------------------------------
      bcount |        163           0           0          0          0
0 out of 163 sites are borderline +/- 5 from threshold
0 percent

    Variable |        Obs        Mean    Std. Dev.       Min        Max
-------------+---------------------------------------------------------
      ycount |        163           1           0          1          1
163 out of 163 sites are 5 or more above threshold
100 percent

    Variable |        Obs        Mean    Std. Dev.       Min        Max
-------------+---------------------------------------------------------
      ncount |        163           0           0          0          0
0 out of 163 sites are 5 or more below threshold
0 percent

               | borderline
          site |       yes |     Total
---------------+-----------+----------
          arcb |         6 |         6 
          arcc |         6 |         6 
          arcd |         6 |         6 
          blaz |         1 |         1 
         ccrca |         9 |         9 
         ccrcb |        22 |        22 
         ccrcc |         6 |         6 
          dfra |         1 |         1 
          dfrc |        34 |        34 
         lukmf |         6 |         6 
          qacb |        44 |        44 
       qaccsmr |         1 |         1 
          sasx |        14 |        14 
           sei |         6 |         6 
           sep |         1 |         1 
---------------+-----------+----------
         Total |       163 |       163 


           | borderline
       set |       yes |     Total
-----------+-----------+----------
Collindale |       131 |       131 
 Oxford491 |        15 |        15 
 Oxford501 |        17 |        17 
-----------+-----------+----------
     Total |       163 |       163 


